"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1520;"128.3.191.71";"239.255.255.253";50924;427;"UDP"
1521;"131.243.61.187";"239.255.255.253";61071;427;"UDP"
1522;"128.3.255.67";"131.243.142.214";1035;524;"TCP"
1523;"218.131.115.53";"128.3.255.98";80;1446;"TCP"
1524;"218.131.115.53";"128.3.255.98";80;1445;"TCP"
1525;"128.3.255.49";"59.69.237.47";3823;80;"TCP"
1526;"128.3.189.146";"239.255.255.253";49392;427;"UDP"
1527;"128.3.255.229";"128.3.161.22";515;810;"TCP"
1528;"128.3.188.95";"128.3.255.60";25010;25012;"UDP"
1529;"128.3.255.47";"131.243.160.98";3719;7777;"TCP"
1530;"128.3.255.24";"128.3.161.182";1239;139;"TCP"
1531;"59.69.252.250";"128.3.255.49";80;3596;"TCP"
1532;"128.3.70.250";"224.0.1.22";1038;427;"UDP"
1533;"128.3.255.24";"128.3.255.255";138;138;"UDP"
1534;"128.3.255.172";"144.201.74.44";2097;80;"TCP"
1535;"128.3.255.154";"128.3.71.243";11001;11001;"UDP"
1536;"128.3.255.67";"218.131.115.32";2358;80;"TCP"
1537;"128.3.209.27";"239.255.255.253";50238;427;"UDP"
1538;"128.3.112.223";"239.255.255.253";56702;427;"UDP"
